timestamp, frame, x, y, z, qx, qy, qz, qw, fx, fy, cx, cy, distortion_center_x, distortion_center_y
133180.758647416, 000115, 0.69274074, 0.329805, 0.24333309, 0.5474013, -0.07594972, 0.83093864, 0.06422091, 1438.7777, 1438.7777, 961.0328, 726.8604, , 
133180.775319416, 000116, 0.69501585, 0.34246954, 0.24633044, 0.54591995, -0.07705156, 0.8317808, 0.064615436, 1438.7394, 1438.7394, 960.9868, 726.93353, , 
133180.791991666, 000117, 0.69732666, 0.35565096, 0.24953409, 0.5445474, -0.078252815, 0.83255637, 0.06476378, 1438.6935, 1438.6935, 960.9856, 727.0126, , 
133180.808663666, 000118, 0.69953614, 0.36924785, 0.25299847, 0.5431157, -0.079433784, 0.8333851, 0.06468857, 1438.8503, 1438.8503, 960.91626, 727.0589, , 
133180.825335958, 000119, 0.70163625, 0.38316622, 0.2567562, 0.5415423, -0.08072788, 0.8342864, 0.064661056, 1439.2404, 1439.2404, 960.91315, 727.11914, , 
133180.842007916, 000120, 0.702718, 0.39709324, 0.26084113, 0.53980374, -0.0821235, 0.83526236, 0.06484008, 1439.3359, 1439.3359, 960.8601, 727.1559, , 
133180.875352208, 000121, 0.7053342, 0.42521554, 0.26932007, 0.5358366, -0.08587011, 0.8373092, 0.066473365, 1439.2404, 1439.2404, 960.81165, 727.32574, , 
133180.892024375, 000122, 0.7068527, 0.43912256, 0.27362272, 0.5334575, -0.08761926, 0.83855313, 0.06763498, 1439.2443, 1439.2443, 960.79297, 727.38574, , 
133180.908696416, 000123, 0.708428, 0.45281002, 0.2779967, 0.53046566, -0.089267716, 0.84018606, 0.06873704, 1439.3169, 1439.3169, 960.77057, 727.3542, , 
133180.925368583, 000124, 0.70994633, 0.46620107, 0.28241584, 0.52667564, -0.09143067, 0.84223753, 0.0699223, 1439.4966, 1439.4966, 960.7195, 727.45465, , 
133180.942040708, 000125, 0.711576, 0.4795415, 0.28719747, 0.52291936, -0.094211, 0.84418356, 0.07094909, 1439.378, 1439.378, 960.7198, 727.4381, , 
133180.958712875, 000126, 0.7128124, 0.49252856, 0.29191384, 0.52031, -0.098332874, 0.8452137, 0.07226257, 1439.2328, 1439.2328, 960.71783, 727.4152, , 
133180.975384916, 000127, 0.7135684, 0.50496185, 0.29653218, 0.5194399, -0.10342512, 0.8449741, 0.07418946, 1439.1984, 1439.1984, 960.6625, 727.44415, , 
133180.992057125, 000128, 0.7140548, 0.51683116, 0.30121693, 0.51971394, -0.107732914, 0.8440895, 0.07618161, 1439.2404, 1439.2404, 960.6629, 727.4802, , 
133181.008729208, 000129, 0.7144812, 0.52821195, 0.3060161, 0.5194073, -0.11004626, 0.8438516, 0.07758883, 1439.0912, 1439.0912, 960.6716, 727.4281, , 
133181.025401291, 000130, 0.71496254, 0.5391929, 0.31091878, 0.5175458, -0.11189379, 0.8446362, 0.07883853, 1438.8389, 1438.8389, 960.6706, 727.39886, , 
133181.042073458, 000131, 0.71467745, 0.5499011, 0.31572416, 0.5147336, -0.11519944, 0.84578586, 0.080152676, 1438.8273, 1438.8273, 960.62823, 727.30646, , 
133181.058745625, 000132, 0.7144893, 0.5602059, 0.32071766, 0.51202357, -0.11938043, 0.84675354, 0.08116999, 1438.7777, 1438.7777, 960.6591, 727.28033, , 
133181.075417708, 000133, 0.7145674, 0.5699852, 0.32596558, 0.5097741, -0.12204982, 0.84769857, 0.08149303, 1438.9192, 1438.9192, 960.6635, 727.2898, , 
